time_date_string,user_id,source_app,language,is_user_default_profile,is_user_geo_enabled,country,possibly_sensitive,user_profile_background_color,user.profile_text_color,user_profile_link_color,is_truncated,display_text_range,user.statuses_count,user_friends_count,user_followers_count,user_lists_count,number_of_user_mentions_in_tweet,number_of_medias_in_tweet,number_of_urls_in_tweet
2019-01-20T01:05:37.749Z,1857147901,Twitter for Android,und,FALSE,TRUE,Argentina,,2D8A59,333333,4A913C,FALSE,17,7020,1517,526,0,1,0,0
2019-01-20T00:25:22.857Z,1.00E+18,Twitter for Android,en,TRUE,TRUE,United Kingdom,FALSE,F5F8FA,333333,1DA1F2,FALSE,7,128,288,185,4,0,1,0
2019-01-20T00:50:22.671Z,1289832444,Twitter for iPhone,en,FALSE,TRUE,United States,,C0DEED,333333,F5ABB5,FALSE,,27043,1002,1153,3,0,0,0
2019-01-20T16:34:50.410Z,3248011009,Twitter for iPhone,en,TRUE,TRUE,United States,FALSE,C0DEED,333333,1DA1F2,FALSE,0,557,629,653,1,4,1,0
2019-01-20T12:46:24.435Z,88914136,Twitter for iPhone,en,TRUE,TRUE,United Kingdom,,C0DEED,333333,1DA1F2,TRUE,19,132270,1028,1407,69,2,0,1
2019-01-20T22:39:00.423Z,1158361783,Twitter for iPhone,en,TRUE,TRUE,United Kingdom,FALSE,C0DEED,333333,1DA1F2,TRUE,140,2172,87,137,6,1,0,1
2019-01-20T16:41:19.636Z,263878520,Twitter for iPhone,en,FALSE,TRUE,United States,FALSE,131516,333333,1B95E0,TRUE,14,4380,102,735,26,1,0,1
2019-01-20T04:34:55.121Z,366536174,Twitter for iPhone,en,TRUE,TRUE,United States,TRUE,C0DEED,333333,1DA1F2,TRUE,140,15315,662,287,8,0,0,1
2019-01-20T03:21:22.099Z,9.47E+17,Twitter for Android,en,TRUE,TRUE,United States,,F5F8FA,333333,1DA1F2,FALSE,14,14204,4259,672,12,1,0,0
2019-01-20T20:32:48.214Z,23426367,Twitter for iPhone,en,TRUE,TRUE,United Kingdom,,C0DEED,333333,1DA1F2,FALSE,16,8654,166,228,59,1,0,0
2019-01-20T20:44:18.064Z,103093973,Twitter for iPhone,en,FALSE,TRUE,United States,,642D8B,3D1957,FF0000,FALSE,13,81881,915,829,28,1,0,0
2019-01-20T14:38:35.508Z,81317281,Twitter for Android,en,FALSE,TRUE,India,,131516,333333,4CA82D,FALSE,,15290,369,4648,51,0,0,0
2019-01-20T05:44:55.617Z,788318336,Twitter for iPhone,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,,25540,385,549,3,0,0,0
2019-01-20T19:59:30.908Z,482902391,Twitter for iPhone,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,51,3543,1414,624,6,4,0,0
2019-01-20T17:10:52.585Z,209545707,Twitter for iPhone,en,FALSE,TRUE,United Kingdom,FALSE,131516,333333,9999,TRUE,140,9054,1638,1836,38,4,0,2
2019-01-20T19:57:45.407Z,9675812,Twitter for iPhone,en,FALSE,TRUE,United States,,0,0,0078FF,FALSE,42,71667,2891,7117,428,1,0,0
2019-01-20T22:36:05.839Z,167252183,Twitter for Android,en,TRUE,TRUE,United States,FALSE,C0DEED,333333,1DA1F2,FALSE,21,46111,499,677,7,1,1,0
2019-01-20T19:52:46.206Z,422807337,Twitter for iPhone,und,FALSE,TRUE,United Kingdom,,170F01,15494D,FAB81E,FALSE,,24635,1013,2376,23,0,0,0
2019-01-20T07:14:26.695Z,1.08E+18,Twitter for Android,en,FALSE,TRUE,United States,FALSE,0,0,19CF86,TRUE,0,34,5,9,0,0,0,1
2019-01-20T18:34:08.714Z,93925947,Twitter for iPhone,en,FALSE,TRUE,United States,,0,0,9266CC,FALSE,38,1528,211,107,0,2,0,0
2019-01-20T03:37:11.091Z,12341682,Twitter for iPhone,en,FALSE,TRUE,United States,,642D8B,0,FF0000,TRUE,140,20928,635,5284,443,1,0,1
2019-01-20T18:25:15.843Z,3154778131,Twitter for iPhone,en,FALSE,TRUE,United States,,0,0,91D2FA,FALSE,,6078,254,250,0,0,0,0
2019-01-20T09:06:30.882Z,3375795700,Twitter for iPhone,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,,13542,210,396,0,0,0,0
2019-01-20T16:56:13.981Z,22692753,Twitter for iPhone,en,FALSE,TRUE,United Kingdom,,0099B9,3C3940,0099B9,TRUE,26,7605,957,623,7,2,0,1
2019-01-20T16:02:50.968Z,8.20E+17,Twitter for iPhone,en,TRUE,TRUE,United States,,F5F8FA,333333,1DA1F2,FALSE,17,3158,104,124,1,1,0,0
2019-01-20T02:51:51.940Z,1411555663,Twitter for iPhone,en,FALSE,TRUE,United States,,1A1B1F,333333,DD2E23,FALSE,24,18021,297,382,10,2,0,0
2019-01-20T03:47:56.793Z,3221580133,Twitter for iPhone,und,TRUE,TRUE,United States,FALSE,C0DEED,333333,1DA1F2,FALSE,15,430,261,62,1,1,1,0
2019-01-20T01:04:50.850Z,6623822,Twitter for iPhone,en,FALSE,TRUE,United States,,131516,333333,9999,FALSE,12,48883,1219,993,85,1,0,0
2019-01-20T18:32:16.491Z,51232301,Twitter for iPhone,en,FALSE,TRUE,United Kingdom,,1A1B1F,666666,2FC2EF,TRUE,52,834,840,609,2,4,0,1
2019-01-20T01:18:46.097Z,3246818403,Twitter for iPhone,en,TRUE,TRUE,United States,FALSE,C0DEED,333333,1DA1F2,FALSE,28,361,338,335,0,0,1,0
2019-01-20T23:15:17.067Z,561419948,Twitter for iPhone,en,FALSE,TRUE,United States,FALSE,C0DEED,333333,00B362,FALSE,0,7151,251,154,2,0,1,0
2019-01-20T19:27:30.173Z,1.06E+18,Twitter for Android,en,TRUE,TRUE,United States,,F5F8FA,333333,1DA1F2,FALSE,,3408,81,27,0,0,0,0
2019-01-20T05:26:17.807Z,588120903,Twitter for iPhone,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,20,38472,469,378,10,1,0,0
2019-01-20T18:24:16.976Z,528896915,Twitter for iPhone,und,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,16,2703,687,368,4,1,0,0
